,Loss,Accuracy
0,1.4176844233974493,0.7095
1,0.7918599591239517,0.7656
2,0.6330638197254493,0.8136
3,0.5052458777034802,0.8725
4,0.46016237879888205,0.8851
5,0.43799896678779815,0.8909
6,0.4220485222762243,0.8915
7,0.4087615473065153,0.8926
8,0.39896176712488196,0.8956
9,0.389536592988874,0.8979
10,0.38139647990030123,0.8987
11,0.374915760724361,0.9035
12,0.3701846800756233,0.9035
13,0.3645234916996476,0.9055
14,0.36069545972000167,0.9057
15,0.3558395228222184,0.9073
16,0.35217645381654195,0.9082
17,0.34901457338276703,0.909
18,0.34591074224334983,0.9089
19,0.3431128202101418,0.9098
20,0.34014858989147423,0.9099
21,0.3399392669430579,0.9102
22,0.33594472211529974,0.9097
23,0.3356881313025418,0.9091
24,0.3319655488327058,0.911
25,0.33035068333087697,0.9113
26,0.3286369251417739,0.9119
27,0.3265677717717439,0.9126
28,0.3253964196350715,0.9128
29,0.32355619328765517,0.9123
30,0.3226412105313138,0.9135
31,0.320939085469328,0.9128
32,0.32003699531946855,0.9137
33,0.31891673802668236,0.9134
34,0.31802079451594717,0.9144
35,0.31733799061407847,0.9142
36,0.31616660643448985,0.9129
37,0.3157262913116052,0.9145
38,0.31470158999784276,0.9134
39,0.3137906716171854,0.9143
40,0.3133015686754612,0.914
41,0.312191800246283,0.9146
42,0.3111781086669245,0.9145
43,0.310641113723451,0.9136
44,0.3101352970361258,0.9139
45,0.3090662016493978,0.9149
46,0.3090059319623542,0.9158
47,0.30817987676385694,0.9147
48,0.30730112847874475,0.9159
49,0.3068638365606647,0.9165
50,0.30635364331969267,0.9165
51,0.3055128496886551,0.9165
52,0.30491416199954735,0.9166
53,0.30480858088161605,0.9155
54,0.30391474772518673,0.9171
55,0.30361017398435686,0.9168
56,0.30269336300047567,0.9173
57,0.3021146888804534,0.9172
58,0.30179590586912264,0.9171
59,0.30133439375657,0.9169
60,0.30089054763437645,0.9172
61,0.30037778762467865,0.9177
62,0.29986634825335934,0.9178
63,0.2997909036002879,0.9172
64,0.29946603933467236,0.9167
65,0.2986810326530332,0.9178
66,0.2984012658723031,0.9174
67,0.29775112907943413,0.917
68,0.2976590658475835,0.9168
69,0.29713052267310264,0.9183
70,0.29653884995566115,0.918
